200215 134232.690|CONFIG|Thread-4|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/logs directory.
200215 134232.690|INFO|Thread-4|info|
200215 134232.691|INFO|Thread-4|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134232.691|INFO|Thread-4|info|Login: administrator1 (aka administrator1)
200215 134232.691|INFO|Thread-4|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134232.691|INFO|Thread-4|startLog|Process id is 33576@Hunters-MacBook-Pro.local
200215 134232.692|INFO|Thread-4|info|Attempting to load UI class edu.csus.ecs.pc2.ui.admin.AdministratorView
200215 134232.736|INFO|Thread-4|info|Loaded UI class edu.csus.ecs.pc2.ui.admin.AdministratorView
200215 134235.749|INFO|Thread-4|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200215 134235.750|INFO|Thread-4|info|handlePacket end Packet[LOGIN_SUCCESS] #8 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 134235.751|INFO|Thread-4|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #8 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 135749.662|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[UPDATE_SETTING] #2 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135749.665|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[UPDATE_SETTING] #2 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135749.772|INFO|Thread-7|info| receiveObject(S) start got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.774|INFO|Thread-7|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) recieveObject
200215 135749.774|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.774|INFO|Thread-7|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.776|INFO|Thread-7|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.778|INFO|Thread-7|info|handlePacket start Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.778|INFO|Thread-7|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) handlePacket
200215 135749.779|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.779|INFO|Thread-7|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.780|INFO|Thread-7|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135750.009|INFO|Thread-7|info|handlePacket end Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135750.009|INFO|Thread-7|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135756.245|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135756.246|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135756.314|INFO|Thread-9|info| receiveObject(S) start got Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1
200215 135756.315|INFO|Thread-9|dumpPacket|Packet UPDATE_SETTING (Seq #13, o#3 ) recieveObject
200215 135756.315|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135756.315|INFO|Thread-9|dumpPacket|    To: JUDGE2 @ site 1
200215 135756.315|INFO|Thread-9|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge2
200215 135756.316|INFO|Thread-9|info|handlePacket start Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1
200215 135756.316|INFO|Thread-9|dumpPacket|Packet UPDATE_SETTING (Seq #13, o#3 ) handlePacket
200215 135756.316|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135756.316|INFO|Thread-9|dumpPacket|    To: JUDGE2 @ site 1
200215 135756.316|INFO|Thread-9|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge2
200215 135756.513|INFO|Thread-9|info|handlePacket end Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1
200215 135756.514|INFO|Thread-9|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #13 SERVER0 @ site 1 -> JUDGE2 @ site 1
200215 135803.618|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135803.620|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135803.703|INFO|Thread-11|info| receiveObject(S) start got Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1
200215 135803.704|INFO|Thread-11|dumpPacket|Packet UPDATE_SETTING (Seq #15, o#4 ) recieveObject
200215 135803.704|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135803.705|INFO|Thread-11|dumpPacket|    To: JUDGE3 @ site 1
200215 135803.705|INFO|Thread-11|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge3
200215 135803.705|INFO|Thread-11|info|handlePacket start Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1
200215 135803.706|INFO|Thread-11|dumpPacket|Packet UPDATE_SETTING (Seq #15, o#4 ) handlePacket
200215 135803.706|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135803.706|INFO|Thread-11|dumpPacket|    To: JUDGE3 @ site 1
200215 135803.706|INFO|Thread-11|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge3
200215 135803.837|INFO|Thread-11|info|handlePacket end Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1
200215 135803.837|INFO|Thread-11|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #15 SERVER0 @ site 1 -> JUDGE3 @ site 1
200215 135813.108|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135813.109|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135813.181|INFO|Thread-13|info| receiveObject(S) start got Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1
200215 135813.182|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #17, o#5 ) recieveObject
200215 135813.182|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135813.182|INFO|Thread-13|dumpPacket|    To: JUDGE4 @ site 1
200215 135813.182|INFO|Thread-13|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge4
200215 135813.183|INFO|Thread-13|info|handlePacket start Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1
200215 135813.183|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #17, o#5 ) handlePacket
200215 135813.183|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135813.183|INFO|Thread-13|dumpPacket|    To: JUDGE4 @ site 1
200215 135813.183|INFO|Thread-13|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge4
200215 135813.280|INFO|Thread-13|info|handlePacket end Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1
200215 135813.280|INFO|Thread-13|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #17 SERVER0 @ site 1 -> JUDGE4 @ site 1
200215 135819.232|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135819.233|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135819.287|INFO|Thread-15|info| receiveObject(S) start got Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1
200215 135819.288|INFO|Thread-15|dumpPacket|Packet UPDATE_SETTING (Seq #19, o#6 ) recieveObject
200215 135819.288|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135819.288|INFO|Thread-15|dumpPacket|    To: JUDGE5 @ site 1
200215 135819.288|INFO|Thread-15|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge5
200215 135819.288|INFO|Thread-15|info|handlePacket start Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1
200215 135819.289|INFO|Thread-15|dumpPacket|Packet UPDATE_SETTING (Seq #19, o#6 ) handlePacket
200215 135819.289|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135819.289|INFO|Thread-15|dumpPacket|    To: JUDGE5 @ site 1
200215 135819.289|INFO|Thread-15|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge5
200215 135819.347|INFO|Thread-15|info|handlePacket end Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1
200215 135819.353|INFO|Thread-15|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #19 SERVER0 @ site 1 -> JUDGE5 @ site 1
200215 135826.341|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[UPDATE_SETTING] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135826.342|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[UPDATE_SETTING] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
200215 135826.373|INFO|Thread-17|info| receiveObject(S) start got Packet[UPDATE_SETTING] #21 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 135826.374|INFO|Thread-17|dumpPacket|Packet UPDATE_SETTING (Seq #21, o#7 ) recieveObject
200215 135826.375|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135826.375|INFO|Thread-17|dumpPacket|    To: ADMINISTRATOR1 @ site 1
200215 135826.375|INFO|Thread-17|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account administrator1
