200215 134232.507|CONFIG|Thread-4|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/logs directory.
200215 134232.508|INFO|Thread-4|info|
200215 134232.508|INFO|Thread-4|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134232.509|INFO|Thread-4|info|Login: judge1 (aka judge1)
200215 134232.509|INFO|Thread-4|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134232.512|INFO|Thread-4|startLog|Process id is 33579@Hunters-MacBook-Pro.local
200215 134232.513|INFO|Thread-4|info|Attempting to load UI class edu.csus.ecs.pc2.ui.judge.JudgeView
200215 134232.527|INFO|Thread-4|info|Loaded UI class edu.csus.ecs.pc2.ui.judge.JudgeView
200215 134232.647|INFO|Thread-6|info| receiveObject(S) start got Packet[LOGIN] #11 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.649|INFO|Thread-6|dumpPacket|Packet LOGIN (Seq #11, o#11 ) recieveObject
200215 134232.649|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134232.649|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
200215 134232.649|INFO|Thread-6|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@1b9bac67
200215 134232.649|INFO|Thread-6|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 134232.649|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SCOREBOARD1 @ site 1
200215 134232.650|INFO|Thread-6|info|handlePacket start Packet[LOGIN] #11 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.650|INFO|Thread-6|dumpPacket|Packet LOGIN (Seq #11, o#11 ) handlePacket
200215 134232.650|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134232.650|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
200215 134232.650|INFO|Thread-6|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@1b9bac67
200215 134232.650|INFO|Thread-6|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 134232.650|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SCOREBOARD1 @ site 1
200215 134232.651|INFO|Thread-6|info|handlePacket end Packet[LOGIN] #11 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.651|INFO|Thread-6|info| receiveObject(S) end   got Packet[LOGIN] #11 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134233.541|INFO|Thread-4|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200215 134233.542|INFO|Thread-4|info|handlePacket end Packet[LOGIN_SUCCESS] #6 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 134233.543|INFO|Thread-4|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #6 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.726|INFO|Thread-8|info| receiveObject(S) start got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.727|INFO|Thread-8|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) recieveObject
200215 135749.729|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.730|INFO|Thread-8|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.730|INFO|Thread-8|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.730|INFO|Thread-8|info|handlePacket start Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.731|INFO|Thread-8|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) handlePacket
200215 135749.731|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.731|INFO|Thread-8|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.731|INFO|Thread-8|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.741|INFO|Thread-8|info|handlePacket end Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.741|INFO|Thread-8|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.854|INFO|Thread-9|info| receiveObject(S) start got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.855|INFO|Thread-9|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) recieveObject
200215 135749.856|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.856|INFO|Thread-9|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.857|INFO|Thread-9|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.858|INFO|Thread-9|info|handlePacket start Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.859|INFO|Thread-9|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) handlePacket
