200215 134231.688|CONFIG|main|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/logs directory.
200215 134231.688|INFO|main|info|
200215 134231.689|INFO|main|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134231.689|INFO|main|info|Login: team1 (aka team1)
200215 134231.689|INFO|main|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134231.690|INFO|main|startLog|Process id is 33578@Hunters-MacBook-Pro.local
200215 134231.690|INFO|main|info|Contacting server at localhost:50002 as TEAM1 @ site 0
200215 134231.690|INFO|main|info|sendLoginRequest start - sending from TEAM1 @ site 0
200215 134231.698|INFO|main|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
200215 134231.700|INFO|Thread-2|run|send(Serializable)
200215 134231.702|INFO|main|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
200215 134231.703|INFO|main|info|sendLoginRequest end - packet sent.
200215 134231.752|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200215 134231.756|INFO|Thread-3|info| receiveObject(S) start got Packet[LOGIN_FAILED] #5 SERVER0 @ site 1 -> TEAM1 @ site 0
200215 134231.756|INFO|Thread-3|dumpPacket|Packet LOGIN_FAILED (Seq #5, o#5 ) recieveObject
200215 134231.757|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134231.757|INFO|Thread-3|dumpPacket|    To: TEAM1 @ site 0
200215 134231.757|INFO|Thread-3|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
200215 134231.757|INFO|Thread-3|info|handlePacket start Packet[LOGIN_FAILED] #5 SERVER0 @ site 1 -> TEAM1 @ site 0
200215 134231.758|INFO|Thread-3|dumpPacket|Packet LOGIN_FAILED (Seq #5, o#5 ) handlePacket
200215 134231.758|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134231.758|INFO|Thread-3|dumpPacket|    To: TEAM1 @ site 0
200215 134231.758|INFO|Thread-3|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
200215 142426.762|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #5 SERVER0 @ site 1 -> TEAM1 @ site 0
