200215 134232.138|CONFIG|main|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/logs directory.
200215 134232.139|INFO|main|info|
200215 134232.140|INFO|main|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134232.140|INFO|main|info|Login: administrator1 (aka administrator1)
200215 134232.140|INFO|main|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134232.143|INFO|main|startLog|Process id is 33576@Hunters-MacBook-Pro.local
200215 134232.143|INFO|main|info|Contacting server at localhost:50002 as ADMINISTRATOR1 @ site 0
200215 134232.144|INFO|main|info|sendLoginRequest start - sending from ADMINISTRATOR1 @ site 0
200215 134232.152|INFO|main|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
200215 134232.153|INFO|Thread-2|run|send(Serializable)
200215 134232.156|INFO|main|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
200215 134232.156|INFO|main|info|sendLoginRequest end - packet sent.
200215 134232.217|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200215 134232.241|INFO|Thread-3|info| receiveObject(S) start got Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.242|INFO|Thread-3|dumpPacket|Packet LOGIN (Seq #9, o#9 ) recieveObject
200215 134232.242|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134232.242|INFO|Thread-3|dumpPacket|    To: SERVER0 @ site 0
200215 134232.243|INFO|Thread-3|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@7458f935
200215 134232.243|INFO|Thread-3|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.243|INFO|Thread-3|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
200215 134232.243|INFO|Thread-3|info|handlePacket start Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.243|INFO|Thread-3|dumpPacket|Packet LOGIN (Seq #9, o#9 ) handlePacket
200215 134232.244|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134232.244|INFO|Thread-3|dumpPacket|    To: SERVER0 @ site 0
200215 134232.244|INFO|Thread-3|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@7458f935
200215 134232.244|INFO|Thread-3|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134232.244|INFO|Thread-3|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
200215 134232.245|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200215 134232.245|INFO|Thread-3|info|Note: got a LOGIN packet before this site was logged in Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.245|INFO|Thread-3|info|handlePacket end Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.245|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN] #9 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.655|INFO|Thread-4|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #8 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
200215 134232.656|INFO|Thread-4|dumpPacket|Packet LOGIN_SUCCESS (Seq #8, o#8 ) recieveObject
200215 134232.656|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200215 134232.656|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134232.656|INFO|Thread-4|dumpPacket|    To: ADMINISTRATOR1 @ site 1
200215 134232.657|INFO|Thread-4|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@3701e5c8
200215 134232.657|INFO|Thread-4|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@39c60d58
