200215 134231.809|CONFIG|main|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/logs directory.
200215 134231.809|INFO|main|info|
200215 134231.810|INFO|main|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134231.810|INFO|main|info|Login: judge1 (aka judge1)
200215 134231.810|INFO|main|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134231.811|INFO|main|startLog|Process id is 33579@Hunters-MacBook-Pro.local
200215 134231.811|INFO|main|info|Contacting server at localhost:50002 as JUDGE1 @ site 0
200215 134231.811|INFO|main|info|sendLoginRequest start - sending from JUDGE1 @ site 0
200215 134231.820|INFO|main|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
200215 134231.821|INFO|Thread-2|run|send(Serializable)
200215 134231.834|INFO|main|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
200215 134231.835|INFO|main|info|sendLoginRequest end - packet sent.
200215 134231.884|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200215 134232.068|INFO|Thread-3|info| receiveObject(S) start got Packet[LOGIN] #7 SERVER0 @ site 1 -> SERVER0 @ site 0
200215 134232.068|INFO|Thread-3|dumpPacket|Packet LOGIN (Seq #7, o#7 ) recieveObject
200215 134232.069|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 134232.069|INFO|Thread-3|dumpPacket|    To: SERVER0 @ site 0
200215 134232.070|INFO|Thread-3|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@114eae8d
200215 134232.070|INFO|Thread-3|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134232.070|INFO|Thread-3|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE1 @ site 1
