200215 134232.950|CONFIG|Thread-3|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/logs directory.
200215 134232.950|INFO|Thread-3|info|
200215 134232.951|INFO|Thread-3|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134232.951|INFO|Thread-3|info|Login: scoreboard1 (aka scoreboard1)
200215 134232.951|INFO|Thread-3|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134232.951|INFO|Thread-3|startLog|Process id is 33577@Hunters-MacBook-Pro.local
200215 134232.951|INFO|Thread-3|info|Attempting to load UI class edu.csus.ecs.pc2.ui.board.ScoreboardView
200215 134232.968|INFO|Thread-3|info|Loaded UI class edu.csus.ecs.pc2.ui.board.ScoreboardView
200215 134232.970|INFO|Thread-3|setContestAndController|Using XSL from directory /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/data/xsl
200215 134233.154|INFO|Thread-3|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200215 134233.161|INFO|Thread-3|info|handlePacket end Packet[LOGIN_SUCCESS] #10 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
200215 134233.163|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #10 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
200215 134233.888|FINE|AWT-EventQueue-0|generateOutput|Sending output to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html
200215 134234.374|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/pc2export.dat succeeded.
200215 134234.445|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/full.html succeeded.
200215 134234.608|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/summary.html succeeded.
200215 134234.784|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/index.html succeeded.
200215 134234.845|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/fullnums.html succeeded.
200215 134234.918|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/sumtime.html succeeded.
200215 134234.962|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/iScoreBoard.php succeeded.
200215 134234.997|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/sumatt.html succeeded.
200215 134235.015|FINE|AWT-EventQueue-0|addTestRow|addTestRow no balloonSettings for site 1
200215 134235.017|FINE|AWT-EventQueue-0|addTestRow|addTestRow no balloonSettings for site 1
200215 135749.794|INFO|Thread-4|info| receiveObject(S) start got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.795|INFO|Thread-4|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) recieveObject
200215 135749.796|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.796|INFO|Thread-4|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.796|INFO|Thread-4|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.797|INFO|Thread-4|info|handlePacket start Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.797|INFO|Thread-4|dumpPacket|Packet UPDATE_SETTING (Seq #12, o#2 ) handlePacket
200215 135749.797|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (Hunters-MacBook-Pro.local @ 127.0.0.1) (Contest Id: Default-3737554909911913459)
200215 135749.797|INFO|Thread-4|dumpPacket|    To: JUDGE1 @ site 1
200215 135749.798|INFO|Thread-4|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account judge1
200215 135749.798|INFO|Thread-4|info|handlePacket end Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135749.798|INFO|Thread-4|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> JUDGE1 @ site 1
200215 135750.045|FINE|AWT-EventQueue-0|generateOutput|Sending output to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html
200215 135750.124|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/pc2export.dat succeeded.
200215 135750.147|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/full.html succeeded.
200215 135750.243|DEBUG|AWT-EventQueue-0|generateOutput|rename to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/html/summary.html succeeded.
