200215 134225.556|CONFIG|main|setFileHandlers|Now logging to /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin/profiles/P43c08821-5a55-4a01-8984-c54f506e09d2/logs directory.
200215 134225.556|INFO|main|info|
200215 134225.556|INFO|main|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Mac OS X 10.15.2 (x86_64) 
200215 134225.557|INFO|main|info|Login: server0 (aka server0)
200215 134225.557|INFO|main|startLog|Working directory is /Users/hunterhan/tomcat/webapps/ROOT/pc2-9.6.0/bin
200215 134225.557|INFO|main|startLog|Process id is 33557@Hunters-MacBook-Pro.local
200215 134225.557|INFO|main|info|Attempting to load UI class edu.csus.ecs.pc2.ui.server.ServerView
200215 134225.609|INFO|main|info|Loaded UI class edu.csus.ecs.pc2.ui.server.ServerView
200215 134225.967|INFO|main|info|Using Profile: Default @ profiles/P43c08821-5a55-4a01-8984-c54f506e09d2
200215 134227.296|INFO|Thread-3|info|connectionEstablished: Socket[addr=/127.0.0.1,port=64760,localport=50002]-3313316664769394747
200215 134227.315|INFO|Thread-4|info|connectionEstablished: Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
200215 134227.460|INFO|Thread-5|info|connectionEstablished: Socket[addr=/127.0.0.1,port=64762,localport=50002]-3524837752961541192
200215 134227.670|INFO|Thread-6|info|connectionEstablished: Socket[addr=/127.0.0.1,port=64763,localport=50002]-7581957894267715720
200215 134231.737|INFO|Thread-7|info|receiveObject start got Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
200215 134231.737|INFO|Thread-7|info|receiveObject Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
200215 134231.740|INFO|Thread-7|info|LOGIN_REQUEST packet contains clientId object with site number of 0; replacing with my site number (1)
200215 134231.740|INFO|Thread-7|info|ClientID=TEAM1 @ site 1
200215 134231.748|INFO|Thread-7|info|sendToClient (send) TEAM1 @ site 0 Packet[LOGIN_FAILED] #5 SERVER0 @ site 1 -> TEAM1 @ site 0 Socket[addr=/127.0.0.1,port=64760,localport=50002]-3313316664769394747
200215 134231.750|INFO|Thread-7|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
200215 134231.869|INFO|Thread-9|info|receiveObject start got Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
200215 134231.869|INFO|Thread-9|info|receiveObject Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
200215 134231.870|INFO|Thread-9|info|LOGIN_REQUEST packet contains clientId object with site number of 0; replacing with my site number (1)
200215 134231.871|INFO|Thread-9|info|ClientID=JUDGE1 @ site 1
200215 134231.872|DEBUG|Thread-9|logDebugMessage|Login Event NEW_LOGIN JUDGE1 @ site 1
200215 134231.874|INFO|Thread-9|info|LOGIN logged in JUDGE1 @ site 1 at Socket[addr=/127.0.0.1,port=64761,localport=50002]--3676650007192264914
